employee_id,first_name,last_name,email,department,salary,joining_date,age
1,Joshua,Ramos,alexandra29@gmail.com,Operations,65313.8,2024-05-23,42
2,Christina,Clark,littlekyle@yahoo.com,IT,58827.32,2021-10-02,46
3,Jonathon,Sullivan,tannerivan@johnson.com,Operations,57427.31,2020-04-30,50
4,Clinton,Aguirre,jamieortega@yahoo.com,HR,45352.74,2021-04-04,55
5,Veronica,Weber,trevinosteven@ramos.com,Operations,78772.56,2020-10-06,51
6,Louis,Rivera,parksamy@gmail.com,Finance,30448.72,2020-05-05,41
7,Sabrina,Gonzalez,rwillis@mason-clark.biz,Marketing,88476.72,2020-10-15,48
8,Jillian,Lewis,sreese@mclean-baker.net,Marketing,49895.55,2021-06-08,33
9,Caroline,Kennedy,inguyen@huynh.com,Finance,88878.64,2024-07-17,47
10,Adam,Sanchez,luisclark@hotmail.com,HR,88331.24,2020-03-23,38
11,Sara,Miller,tmoore@warren-lewis.org,Marketing,68588.45,2020-07-21,26
12,Hannah,Carrillo,dianeroberts@becker.com,Operations,82047.41,2024-05-13,59
13,Elizabeth,Johnson,ramirezbriana@hotmail.com,IT,83585.45,2023-12-11,27
14,Victor,Lamb,michellebrown@finley.com,Finance,55038.09,2024-10-29,56
15,Tammy,Collins,cherylbanks@gmail.com,HR,39382.83,2021-03-12,52
16,Miranda,Mcmahon,bonillamatthew@yahoo.com,Operations,41564.15,2021-04-20,37
17,Carla,Melton,nicholas84@johnson-phillips.com,Finance,41986.9,2024-11-08,28
18,Robert,Sullivan,millerallison@hotmail.com,Finance,72896.95,2024-06-09,46
19,Jessica,Williams,royrandy@kelly.com,Operations,98452.12,2020-07-02,28
20,Kristina,Rivera,fbrooks@martin-blair.com,IT,85703.19,2022-12-18,59
21,Jason,Harding,smithgarrett@gmail.com,Finance,54100.54,2022-08-31,47
22,Karen,Brown,mcdonaldchristina@haynes.com,Marketing,78103.24,2020-02-07,41
23,David,Webster,zacharylee@thomas-sharp.com,Marketing,35390.49,2022-06-21,54
24,Margaret,Barry,isaacfischer@hotmail.com,Marketing,58500.34,2024-11-17,53
25,Monica,Olson,zparrish@hotmail.com,IT,75404.05,2021-01-02,24
26,Eduardo,Smith,rossjared@montes.com,IT,96756.21,2021-03-31,42
